Site ID,Site Name ,Site Type ,X OS Grid Ref,Y OS Grid Ref. ,In AQMA?,Relevant Exposure? (Y/N with distance (m) to relevant exposure) ,Distance to kerb of nearest road (m) (N/A if not applicable),Data Capture (%) for year 2012,2008 Annual Mean Concentration (_g/m3) (Bias Adjustment Factor = 0.88) ,2009 Annual Mean Concentration (_g/m3) (Bias Adjustment Factor = 0.86) ,2010 Annual Mean Concentration (_g/m3) (Bias Adjustment Factor = 0.85) ,2011 Annual Mean Concentration (_g/m3) (Bias Adjustment Factor = 0.81) ,2012 Annual Mean Concentration (_g/m3) (Bias Adjustment Factor = 0.76) 
NORTH ,,,,,,,,,,,,,
64A ,Queensferry RoadNo 552 ,Roadside ,318698,674964,No ,Y facade ,10.5,42,- ,- ,- ,- ,30
23,Roseburn Terrace ,Kerbside ,323007,673198,Yes ,Y (2.3) ,0.23,75,49.5,37.2,43.2,34.5,38
1,St JohnÍs Road SB ,Kerbside ,320122,672917,Yes ,Y (1.8) ,0.54,92,41.2,36.7,38.6,35.1,38
1b ,St JohnÍs Road IR ,Roadside ,320154,672911,Yes ,Y facade ,2,100,48.8,44.2,43.5,38.4,44
1d ,St JohnÍs Road No 131 ,Roadside ,320096,672907,Yes ,Y facade ,2.1,100,84.9,57.8,58.8,56.3,52
39,St JohnÍs Roada ,Roadside ,319651,672995,Yes ,Y (4.15) ,1.56,92,31.7,28.2,31.1,30,32
50a ,Whitehouse Rd/Barnton Grove ,Roadside ,318571,675028,No ,Y (1.57) ,3.5,67,31.4,29.8,32.1,27.8,32
SOUTH WEST ,,,,,,,,,,,,,
76,Angle Park/Harrison Road ,Roadside ,323498,672263,No ,Y facade ,2.2,100,- ,- ,52.9,44.4,48
76C ,Angle Park Terrace No 25 ,Roadside ,323587,672360,No ,Y facade ,4.75,100,- ,- ,- ,- ,36
76B ,Angle Park Terrace No 74 ,Roadside ,323526,672285,No ,Y facade ,2.1,100,- ,- ,- ,- ,51
76A ,Ardmillan Terrace No 22 ,Roadside ,323487,672287,No ,Y facade ,2.2,83,- ,- ,- ,- ,32
4,Calder Road ,Roadside ,319062,670543,No ,Y (25) ,1.6,100,29.5,26.3,25.9,31.7,32
80C ,Gorgie Road No 87 ,Roadside ,323265,672394,Yes ,Y facade ,2.5,67,- ,- ,- ,- ,39
80B ,Gorgie Road No 549 ,Roadside ,321724,671557,Yes ,Y facade ,2.5,83,- ,- ,- ,- ,33
18,Gorgie Road No 8 ,Roadside ,323477,672476,Yes ,Y facade ,2.4,92,51.5,45,54.5,48.2,49
80,Gorgie Road / Delhaig ,Roadside ,321967,671666,Yes ,Y facade ,2.6,100,- ,- ,47.4,42.2,42
5,Gorgie Road/Murieston Road ,Kerbside ,323484,672478,Yes ,Y (4.9) ,0.3,100,44.3,42.6,42.9,44.4,43
76D ,Henderson Terrace ,Roadside ,323632,672449,No ,Y facade ,1.8,83,- ,- ,- ,- ,38
11,Lanark Road No No610 ,Roadside ,319527,668420,No ,Y (3.7) ,1.5,92,24.8,22.3,23.5,22.5,24
77A ,Slateford Road No 51 ,Roadside ,323167,672999,No ,Y facade ,2.3,83,- ,- ,- ,- ,41
77B ,Slateford Road No 93/95 ,Roadside ,322999,671876,No ,Y facade ,2.6,100,- ,- ,- ,- ,46
77,Slateford Road No 97 ,Roadside ,322960,671846,No ,Y facade ,2.67,100,- ,- ,47.6,38.1,43
78,Slateford Road/The Maltings ,Roadside ,322772,671606,No ,Y facade ,2.2,100,- ,- ,35.9,30.2,31
